Time,Temp
8/17/2021 0:00,21.1
8/17/2021 1:00,21.5
8/17/2021 2:00,21.6
8/17/2021 3:00,22
8/17/2021 4:00,22.2
8/17/2021 5:00,23.1
8/17/2021 6:00,23.7
8/17/2021 7:00,24.9
8/17/2021 8:00,25.7
8/17/2021 9:00,26
8/17/2021 10:00,28.4
8/17/2021 11:00,31.6
8/17/2021 12:00,32.3
8/17/2021 13:00,33.8
8/17/2021 14:00,34.6
8/17/2021 15:00,34.3
8/17/2021 16:00,34.9
8/17/2021 17:00,31.5
8/17/2021 18:00,30.6
8/17/2021 19:00,27.4
8/17/2021 20:00,24.6
8/17/2021 21:00,23.1
8/17/2021 22:00,22.7
8/17/2021 23:00,22.3
8/18/2021 0:00,22.1
8/18/2021 1:00,21.5
8/18/2021 2:00,21.1
8/18/2021 3:00,20.6
8/18/2021 4:00,20.75
8/18/2021 5:00,20.1
8/18/2021 6:00,20.15
